Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2
3,0.12,144,73,25.0,critical,0.814,342,350,486,423
3,0.12,397,132,25.0,critical,0.641,274,588,671,720
3,0.12,212,49,25.0,critical,0.606,746,185,958,234
6,0.24,156,76,25.0,critical,0.856,330,369,486,445
6,0.24,351,95,25.0,critical,0.737,299,625,650,720
6,0.24,208,48,25.0,critical,0.622,759,186,967,234
9,0.36,163,85,25.0,critical,0.829,320,381,483,466
9,0.36,202,50,25.0,critical,0.665,774,188,976,238
9,0.36,431,67,25.0,critical,0.546,156,274,587,341
9,0.36,120,35,25.0,critical,0.543,244,228,364,263
12,0.48,167,96,25.0,critical,0.925,306,395,473,491
12,0.48,464,79,25.0,critical,0.586,140,275,604,354
15,0.60,194,104,25.0,critical,0.955,281,414,475,518
15,0.60,221,53,25.0,critical,0.666,774,191,995,244
15,0.60,77,30,25.0,critical,0.638,800,271,877,301
15,0.60,130,39,25.0,critical,0.582,221,240,351,279
15,0.60,485,84,25.0,critical,0.523,134,286,619,370
15,0.60,121,35,25.0,critical,0.523,345,194,466,229
18,0.72,196,119,25.0,critical,0.876,264,437,460,556
18,0.72,224,57,25.0,critical,0.687,775,197,999,254
18,0.72,128,43,25.0,critical,0.586,337,192,465,235
18,0.72,507,79,25.0,critical,0.586,103,297,610,376
18,0.72,129,41,25.0,critical,0.547,209,241,338,282
21,0.84,229,142,25.0,critical,0.949,232,450,461,592
21,0.84,241,62,25.0,critical,0.704,773,194,1014,256
21,0.84,137,45,25.0,critical,0.633,328,192,465,237
21,0.84,507,89,25.0,critical,0.594,82,302,589,391
24,0.96,250,159,25.0,critical,0.952,201,480,451,639
24,0.96,150,45,25.0,critical,0.741,181,251,331,296
24,0.96,244,63,25.0,critical,0.716,773,195,1017,258
24,0.96,132,46,25.0,critical,0.647,324,193,456,239
24,0.96,527,105,25.0,critical,0.612,74,302,601,407
27,1.08,278,175,25.0,critical,0.901,158,512,436,687
27,1.08,263,64,25.0,critical,0.646,766,197,1029,261
27,1.08,158,49,25.0,critical,0.558,166,256,324,305
27,1.08,141,43,25.0,critical,0.539,312,201,453,244
30,1.20,276,174,25.0,critical,0.900,130,546,406,720
30,1.20,164,51,25.0,critical,0.748,147,263,311,314
30,1.20,555,110,25.0,critical,0.641,9,332,564,442
30,1.20,138,45,25.0,critical,0.616,309,206,447,251
30,1.20,100,37,25.0,critical,0.599,834,313,934,350
30,1.20,268,64,25.0,critical,0.573,767,200,1035,264
33,1.32,269,129,25.0,critical,0.922,103,591,372,720
33,1.32,104,47,25.0,critical,0.777,843,319,947,366
33,1.32,164,52,25.0,critical,0.690,128,272,292,324
33,1.32,155,48,25.0,critical,0.538,287,206,442,254
33,1.32,283,64,25.0,critical,0.531,775,205,1058,269
36,1.44,171,53,25.0,critical,0.732,113,280,284,333
36,1.44,115,43,25.0,critical,0.722,855,337,970,380
36,1.44,272,57,25.0,critical,0.626,795,217,1067,274
36,1.44,151,52,25.0,critical,0.576,285,209,436,261
36,1.44,534,138,25.0,critical,0.549,0,350,534,488
39,1.56,190,61,25.0,critical,0.858,84,284,274,345
39,1.56,114,49,25.0,critical,0.776,865,346,979,395
39,1.56,158,45,25.0,critical,0.582,276,219,434,264
42,1.68,186,73,25.0,critical,0.915,60,290,246,363
42,1.68,175,52,25.0,critical,0.758,255,218,430,270
42,1.68,118,53,25.0,critical,0.645,882,358,1000,411
42,1.68,115,68,25.0,critical,0.507,820,510,935,578
45,1.80,196,73,25.0,critical,0.878,35,298,231,371
45,1.80,170,52,25.0,critical,0.737,257,224,427,276
45,1.80,125,57,25.0,critical,0.734,895,370,1020,427
45,1.80,128,78,25.0,critical,0.571,845,542,973,620
45,1.80,331,72,25.0,critical,0.555,772,217,1103,289
48,1.92,212,72,25.0,critical,0.827,9,308,221,380
48,1.92,184,54,25.0,critical,0.791,243,225,427,279
48,1.92,147,54,25.0,critical,0.748,902,388,1049,442
48,1.92,127,95,25.0,critical,0.652,874,578,1001,673
48,1.92,336,72,25.0,critical,0.535,780,223,1116,295
51,2.04,201,87,25.0,critical,0.844,0,313,201,400
51,2.04,183,59,25.0,critical,0.758,232,226,415,285
51,2.04,142,65,25.0,critical,0.744,925,394,1067,459
51,2.04,336,69,25.0,critical,0.550,789,227,1125,296
51,2.04,80,39,25.0,critical,0.546,672,275,752,314
54,2.16,182,92,25.0,critical,0.936,0,320,182,412
54,2.16,155,66,25.0,critical,0.835,948,416,1103,482
54,2.16,84,38,25.0,critical,0.554,678,288,762,326
54,2.16,354,76,25.0,critical,0.546,796,226,1150,302
54,2.16,195,62,25.0,critical,0.529,218,229,413,291
54,2.16,611,210,25.0,critical,0.506,11,510,622,720
57,2.28,166,104,25.0,critical,0.888,0,333,166,437
57,2.28,162,75,25.0,critical,0.871,982,438,1144,513
57,2.28,89,40,25.0,critical,0.654,678,295,767,335
57,2.28,210,60,25.0,critical,0.654,200,238,410,298
57,2.28,195,49,25.0,critical,0.611,887,343,1082,392
57,2.28,338,77,25.0,critical,0.562,836,236,1174,313
60,2.40,140,108,25.0,critical,0.918,0,349,140,457
60,2.40,183,81,25.0,critical,0.853,999,471,1182,552
60,2.40,89,44,25.0,critical,0.712,688,305,777,349
60,2.40,217,70,25.0,critical,0.694,198,240,415,310
60,2.40,342,74,25.0,critical,0.605,850,244,1192,318
63,2.52,183,106,25.0,critical,0.817,1051,501,1234,607
63,2.52,230,69,25.0,critical,0.789,173,255,403,324
63,2.52,99,47,25.0,critical,0.786,692,320,791,367
63,2.52,120,112,25.0,critical,0.752,0,371,120,483
63,2.52,218,60,25.0,critical,0.751,919,375,1137,435
63,2.52,352,83,25.0,critical,0.607,854,246,1206,329
63,2.52,173,45,25.0,critical,0.508,281,675,454,720
