Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2,Priority
3,0.12,144,72,35.2,critical,0.816,341,350,485,422,6
3,0.12,180,91,34.9,critical,0.814,427,437,607,528,6
3,0.12,215,108,34.5,critical,0.812,513,525,728,633,6
4,0.16,148,76,35.3,critical,0.805,337,351,485,427,6
4,0.16,184,95,35.0,critical,0.800,422,438,606,533,6
4,0.16,219,114,34.6,critical,0.797,507,527,726,641,6
8,0.32,160,83,35.2,critical,0.798,322,377,482,460,6
8,0.32,201,104,34.8,critical,0.795,402,471,603,575,6
8,0.32,242,124,34.3,critical,0.800,483,566,725,690,6
9,0.36,163,85,35.2,critical,0.847,320,381,483,466,6
9,0.36,203,106,34.8,critical,0.829,400,476,603,582,6
9,0.36,245,129,34.4,critical,0.837,480,571,725,700,6
10,0.40,170,90,35.2,critical,0.904,313,383,483,473,6
10,0.40,214,112,34.7,critical,0.898,391,480,605,592,6
10,0.40,256,136,34.3,critical,0.901,470,575,726,711,6
11,0.44,168,92,35.4,critical,0.913,313,385,481,477,6
11,0.44,215,115,34.8,critical,0.920,391,481,606,596,6
11,0.44,257,138,34.3,critical,0.922,470,578,727,716,6
12,0.48,170,95,35.5,critical,0.924,305,396,475,491,6
12,0.48,209,120,35.2,critical,0.925,382,493,591,613,6
12,0.48,250,144,34.7,critical,0.925,458,592,708,736,6
13,0.52,168,95,35.6,critical,0.894,303,403,471,498,6
13,0.52,210,120,35.2,critical,0.895,380,503,590,623,6
13,0.52,251,143,34.6,critical,0.896,456,605,707,748,6
14,0.56,180,106,35.6,critical,0.898,296,402,476,508,6
14,0.56,230,133,35.0,critical,0.897,370,503,600,636,6
14,0.56,275,158,34.3,critical,0.899,443,605,718,763,6
15,0.60,191,105,35.2,critical,0.958,281,413,472,518,6
15,0.60,242,130,34.5,critical,0.955,351,517,593,647,6
15,0.60,290,155,33.9,critical,0.955,422,621,712,776,6
16,0.64,191,117,35.7,critical,0.970,276,416,467,533,6
16,0.64,242,145,34.9,critical,0.970,343,520,585,665,6
16,0.64,288,172,34.3,critical,0.970,413,625,701,797,6
17,0.68,188,120,35.8,critical,0.940,273,423,461,543,6
17,0.68,236,152,35.3,critical,0.939,341,528,577,680,6
17,0.68,282,181,34.6,critical,0.940,410,635,692,816,6
18,0.72,197,120,35.6,critical,0.880,263,436,460,556,6
18,0.72,245,149,35.0,critical,0.876,330,546,575,695,6
18,0.72,295,180,34.2,critical,0.879,395,655,690,835,6
19,0.76,199,130,35.8,critical,0.935,261,441,460,571,6
19,0.76,250,163,35.1,critical,0.931,325,550,575,713,6
19,0.76,300,197,34.3,critical,0.932,390,660,690,857,6
20,0.80,219,135,35.3,critical,0.949,242,446,461,581,6
20,0.80,275,170,34.6,critical,0.949,302,557,577,727,6
20,0.80,329,204,33.7,critical,0.949,363,668,692,872,6
21,0.84,228,141,35.2,critical,0.952,232,450,460,591,6
21,0.84,286,178,34.4,critical,0.949,290,562,576,740,6
21,0.84,343,211,33.5,critical,0.951,348,676,691,887,6
22,0.88,238,147,35.1,critical,0.926,220,466,458,613,6
22,0.88,303,183,34.1,critical,0.926,272,583,575,766,6
22,0.88,363,220,33.1,critical,0.929,327,700,690,920,6
23,0.92,242,154,35.1,critical,0.927,213,471,455,625,6
23,0.92,305,190,34.1,critical,0.926,267,590,572,780,6
23,0.92,365,229,33.1,critical,0.925,321,707,686,936,6
24,0.96,246,158,35.1,critical,0.954,200,480,446,638,6
24,0.96,312,198,34.1,critical,0.952,251,600,563,798,6
24,0.96,374,237,32.9,critical,0.951,301,720,675,957,6
25,1.00,256,171,35.1,critical,0.886,182,492,438,663,6
25,1.00,322,215,34.0,critical,0.880,228,616,550,831,6
25,1.00,386,258,32.8,critical,0.880,275,738,661,996,6
26,1.04,270,176,34.8,critical,0.896,171,497,441,673,6
26,1.04,338,219,33.7,critical,0.896,213,622,551,841,6
26,1.04,404,264,32.4,critical,0.899,257,746,661,1010,6
27,1.08,278,175,34.6,critical,0.905,157,511,435,686,6
27,1.08,348,218,33.4,critical,0.901,197,640,545,858,6
27,1.08,419,263,32.0,critical,0.902,236,767,655,1030,6
28,1.12,283,183,34.6,critical,0.889,145,528,428,711,6
28,1.12,361,254,33.3,critical,0.902,180,646,541,900,6
28,1.12,432,304,31.7,critical,0.902,216,776,648,1080,6
29,1.16,283,179,34.5,critical,0.882,137,541,420,720,6
29,1.16,86,47,24.9,very_deep,0.345,770,396,856,443,5
29,1.16,355,224,33.3,critical,0.885,171,676,526,900,6
29,1.16,106,60,23.1,very_deep,0.320,962,495,1068,555,5
29,1.16,429,268,31.8,critical,0.884,203,812,632,1080,6
29,1.16,127,70,22.4,very_deep,0.313,1155,595,1282,665,5
30,1.20,276,174,34.6,critical,0.902,130,546,406,720,6
30,1.20,345,218,33.5,critical,0.900,162,682,507,900,6
30,1.20,413,262,32.2,critical,0.902,195,818,608,1080,6
31,1.24,269,159,34.5,critical,0.889,123,561,392,720,6
31,1.24,340,199,33.4,critical,0.895,151,701,491,900,6
31,1.24,407,239,32.2,critical,0.893,183,841,590,1080,6
32,1.28,261,140,34.3,critical,0.904,112,580,373,720,6
32,1.28,329,175,33.3,critical,0.907,138,725,467,900,6
32,1.28,395,212,32.3,critical,0.904,166,868,561,1080,6
33,1.32,93,54,36.0,critical,0.495,785,422,878,476,6
33,1.32,115,68,35.9,critical,0.495,980,527,1095,595,6
33,1.32,137,82,36.1,critical,0.511,1176,633,1313,715,6
34,1.36,119,66,23.6,very_deep,0.328,982,535,1101,601,5
34,1.36,141,80,24.8,very_deep,0.346,1180,642,1321,722,5
35,1.40,98,55,29.9,critical,0.413,788,442,886,497,6
35,1.40,127,66,27.6,critical,0.389,983,555,1110,621,6
35,1.40,151,80,25.6,critical,0.362,1181,666,1332,746,6
39,1.56,113,62,34.6,critical,0.482,803,475,916,537,6
39,1.56,140,76,33.7,critical,0.473,1006,595,1146,671,6
39,1.56,168,92,34.1,critical,0.481,1207,713,1375,805,6
40,1.60,103,65,33.5,critical,0.457,812,482,915,547,6
40,1.60,128,80,28.3,critical,0.389,1015,603,1143,683,6
40,1.60,154,96,26.1,critical,0.361,1218,725,1372,821,6
41,1.64,114,70,23.5,very_deep,0.323,816,486,930,556,5
41,1.64,140,89,23.6,very_deep,0.324,1020,607,1160,696,5
41,1.64,168,105,24.4,very_deep,0.338,1223,730,1391,835,5
42,1.68,114,70,35.9,critical,0.493,821,508,935,578,6
42,1.68,143,85,36.0,critical,0.507,1025,637,1168,722,6
42,1.68,171,102,35.7,critical,0.499,1230,765,1401,867,6
43,1.72,117,76,25.2,critical,0.344,833,512,950,588,6
43,1.72,144,94,27.0,critical,0.371,1042,642,1186,736,6
43,1.72,170,112,27.8,critical,0.384,1252,771,1422,883,6
45,1.80,129,79,36.3,critical,0.551,843,541,972,620,6
45,1.80,160,98,36.0,critical,0.571,1056,677,1216,775,6
45,1.80,192,117,35.6,critical,0.598,1268,813,1460,930,6
46,1.84,132,90,33.3,critical,0.453,846,547,978,637,6
46,1.84,160,106,31.5,critical,0.434,1060,687,1220,793,6
46,1.84,191,134,32.9,critical,0.455,1271,821,1462,955,6
47,1.88,128,83,33.3,critical,0.456,858,560,986,643,6
47,1.88,160,103,31.0,critical,0.428,1072,700,1232,803,6
47,1.88,192,125,30.8,critical,0.429,1286,840,1478,965,6
48,1.92,127,95,37.1,critical,0.638,873,577,1000,672,6
48,1.92,159,119,36.7,critical,0.652,1092,722,1251,841,6
48,1.92,191,141,36.3,critical,0.648,1311,867,1502,1008,6
51,2.04,746,380,23.3,very_deep,0.480,7,472,753,852,5
54,2.16,182,92,34.9,critical,0.932,0,320,182,412,6
54,2.16,227,115,34.4,critical,0.936,0,400,227,515,6
54,2.16,273,137,33.8,critical,0.934,0,481,273,618,6
55,2.20,171,98,35.6,critical,0.919,0,323,171,421,6
55,2.20,211,123,35.2,critical,0.915,0,403,211,526,6
55,2.20,253,147,34.7,critical,0.919,0,485,253,632,6
56,2.24,166,100,35.9,critical,0.898,0,328,166,428,6
56,2.24,207,126,35.4,critical,0.899,0,410,207,536,6
56,2.24,248,151,34.9,critical,0.898,0,492,248,643,6
57,2.28,165,104,36.1,critical,0.878,0,333,165,437,6
57,2.28,207,130,35.6,critical,0.888,0,416,207,546,6
57,2.28,250,155,35.0,critical,0.887,0,500,250,655,6
58,2.32,168,86,35.1,critical,0.862,995,451,1163,537,6
58,2.32,156,103,36.3,critical,0.854,0,343,156,446,6
58,2.32,214,109,34.6,critical,0.869,1243,563,1457,672,6
58,2.32,202,127,35.6,critical,0.868,0,430,202,557,6
58,2.32,256,130,34.1,critical,0.869,1492,676,1748,806,6
58,2.32,242,154,35.1,critical,0.863,0,516,242,670,6
59,2.36,148,105,36.7,critical,0.915,0,346,148,451,6
59,2.36,90,45,35.6,critical,0.571,685,302,775,347,6
59,2.36,186,134,36.3,critical,0.917,0,431,186,565,6
59,2.36,223,159,35.7,critical,0.918,0,518,223,677,6
59,2.36,135,68,35.3,critical,0.560,1028,453,1163,521,6
60,2.40,141,108,37.0,critical,0.920,0,348,141,456,6
60,2.40,175,135,36.6,critical,0.918,0,436,175,571,6
60,2.40,211,162,36.1,critical,0.918,0,523,211,685,6
61,2.44,138,108,37.1,critical,0.916,0,353,138,461,6
61,2.44,179,92,35.0,critical,0.859,1018,478,1197,570,6
