Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2,Priority
3,0.12,144,73,18.4,deep,0.814,342,350,486,423,4
4,0.16,147,76,18.3,deep,0.800,338,351,485,427,4
8,0.32,161,83,19.8,deep,0.795,322,377,483,460,4
9,0.36,163,85,18.2,deep,0.829,320,381,483,466,4
10,0.40,171,90,16.6,deep,0.898,313,384,484,474,4
11,0.44,172,92,19.0,deep,0.920,313,385,485,477,4
12,0.48,167,96,18.5,deep,0.925,306,395,473,491,4
13,0.52,168,96,18.7,deep,0.895,304,403,472,499,4
14,0.56,184,106,17.5,deep,0.897,296,403,480,509,4
15,0.60,194,104,16.5,deep,0.955,281,414,475,518,4
16,0.64,193,116,18.4,deep,0.970,275,416,468,532,4
17,0.68,189,121,19.3,deep,0.939,273,423,462,544,4
18,0.72,196,119,17.4,deep,0.876,264,437,460,556,4
19,0.76,200,131,18.7,deep,0.931,260,440,460,571,4
20,0.80,220,136,18.8,deep,0.949,242,446,462,582,4
21,0.84,229,142,17.5,deep,0.949,232,450,461,592,4
22,0.88,242,146,18.3,deep,0.926,218,467,460,613,4
23,0.92,244,152,17.0,deep,0.926,214,472,458,624,4
24,0.96,250,159,17.4,deep,0.952,201,480,451,639,4
25,1.00,257,172,16.7,deep,0.880,183,493,440,665,4
26,1.04,270,175,19.0,deep,0.896,171,498,441,673,4
27,1.08,278,175,19.1,deep,0.901,158,512,436,687,4
28,1.12,289,203,19.6,deep,0.902,144,517,433,720,4
29,1.16,284,179,17.0,deep,0.885,137,541,421,720,4
29,1.16,85,48,21.5,very_deep,0.320,770,396,855,444,5
30,1.20,276,174,18.0,deep,0.900,130,546,406,720,4
31,1.24,272,159,17.6,deep,0.895,121,561,393,720,4
32,1.28,263,140,17.9,deep,0.907,111,580,374,720,4
33,1.32,92,54,20.5,very_deep,0.495,784,422,876,476,5
34,1.36,95,53,21.9,very_deep,0.328,786,428,881,481,5
35,1.40,101,53,23.7,very_deep,0.389,787,444,888,497,5
39,1.56,112,61,21.7,very_deep,0.473,805,476,917,537,5
40,1.60,103,64,21.2,very_deep,0.389,812,483,915,547,5
41,1.64,112,71,22.5,very_deep,0.324,816,486,928,557,5
42,1.68,115,68,22.3,very_deep,0.507,820,510,935,578,5
43,1.72,115,75,25.3,critical,0.371,834,514,949,589,6
45,1.80,128,78,22.3,very_deep,0.571,845,542,973,620,5
46,1.84,128,85,22.2,very_deep,0.434,848,550,976,635,5
47,1.88,128,83,24.1,very_deep,0.428,858,560,986,643,5
48,1.92,127,95,21.7,very_deep,0.652,874,578,1001,673,5
51,2.04,597,304,18.5,deep,0.480,6,378,603,682,4
54,2.16,182,92,17.9,deep,0.936,0,320,182,412,4
55,2.20,169,98,20.0,deep,0.915,0,323,169,421,4
56,2.24,166,101,19.6,deep,0.899,0,328,166,429,4
57,2.28,166,104,17.0,deep,0.888,0,333,166,437,4
58,2.32,171,87,20.3,very_deep,0.869,995,451,1166,538,5
58,2.32,162,102,17.5,deep,0.868,0,344,162,446,4
59,2.36,149,107,17.3,deep,0.917,0,345,149,452,4
60,2.40,140,108,18.7,deep,0.918,0,349,140,457,4
61,2.44,139,107,18.9,deep,0.915,0,355,139,462,4
61,2.44,180,91,19.1,deep,0.853,1018,479,1198,570,4
62,2.48,177,93,19.4,deep,0.900,1042,492,1219,585,4
62,2.48,132,115,18.6,deep,0.843,0,364,132,479,4
63,2.52,183,106,19.6,deep,0.817,1051,501,1234,607,4
63,2.52,120,112,19.9,deep,0.752,0,371,120,483,4
64,2.56,185,104,18.0,deep,0.899,1059,511,1244,615,4
64,2.56,118,112,19.9,deep,0.844,0,377,118,489,4
64,2.56,97,51,21.2,very_deep,0.743,695,322,792,373,5
65,2.60,195,114,19.1,deep,0.877,1083,532,1278,646,4
66,2.64,186,123,17.7,deep,0.897,1092,549,1278,672,4
66,2.64,93,88,20.9,very_deep,0.479,0,396,93,484,5
66,2.64,105,139,24.1,very_deep,0.379,265,471,370,610,5
67,2.68,172,130,20.0,very_deep,0.884,1105,554,1277,684,5
67,2.68,77,91,21.4,very_deep,0.448,0,402,77,493,5
67,2.68,107,137,21.7,very_deep,0.447,259,479,366,616,5
68,2.72,153,133,20.1,very_deep,0.879,1126,582,1279,715,5
69,2.76,136,120,21.9,very_deep,0.740,1144,593,1280,713,5
69,2.76,48,55,26.0,critical,0.303,0,416,48,471,6
70,2.80,116,105,18.9,deep,0.868,1161,614,1277,719,4
71,2.84,99,92,22.0,very_deep,0.700,1178,626,1277,718,5
72,2.88,66,51,23.5,very_deep,0.561,1213,669,1279,720,5
78,3.12,211,127,20.0,very_deep,0.700,1068,492,1279,619,5
79,3.16,203,144,20.0,very_deep,0.747,1077,497,1280,641,5
80,3.20,200,141,20.4,very_deep,0.700,1079,509,1279,650,5
81,3.24,183,145,21.0,very_deep,0.698,1096,515,1279,660,5
82,3.28,166,144,19.1,deep,0.703,1114,535,1280,679,4
83,3.32,166,84,19.8,deep,0.849,750,454,916,538,4
83,3.32,150,129,19.2,deep,0.700,1129,552,1279,681,4
84,3.36,149,142,20.0,deep,0.609,1131,551,1280,693,4
85,3.40,170,89,19.6,deep,0.886,764,482,934,571,4
85,3.40,300,155,20.5,very_deep,0.760,979,302,1279,457,5
85,3.40,123,121,22.5,very_deep,0.330,1156,579,1279,700,5
86,3.44,171,87,18.4,deep,0.919,772,486,943,573,4
86,3.44,295,158,19.4,deep,0.675,984,303,1279,461,4
86,3.44,106,127,25.6,critical,0.386,1173,585,1279,712,6
87,3.48,177,92,20.6,very_deep,0.851,774,494,951,586,5
87,3.48,292,161,18.3,deep,0.716,987,302,1279,463,4
88,3.52,185,98,16.5,deep,0.926,781,511,966,609,4
88,3.52,285,154,19.2,deep,0.656,995,312,1280,466,4
89,3.56,192,109,16.9,deep,0.913,788,518,980,627,4
89,3.56,276,154,22.1,very_deep,0.574,1003,316,1279,470,5
90,3.60,201,111,20.2,very_deep,0.874,793,528,994,639,5
90,3.60,270,151,21.5,very_deep,0.565,1010,321,1280,472,5
91,3.64,212,108,16.4,deep,0.924,790,542,1002,650,4
91,3.64,259,150,18.9,deep,0.655,1020,325,1279,475,4
91,3.64,70,44,22.9,very_deep,0.319,1210,530,1280,574,5
92,3.68,208,112,17.2,deep,0.918,805,566,1013,678,4
92,3.68,254,151,18.4,deep,0.665,1025,328,1279,479,4
92,3.68,45,40,25.6,critical,0.387,1235,552,1280,592,6
93,3.72,220,127,16.4,deep,0.936,811,576,1031,703,4
93,3.72,253,158,20.4,very_deep,0.627,1027,332,1280,490,5
93,3.72,135,75,24.0,very_deep,0.305,1,592,136,667,5
94,3.76,223,119,18.6,deep,0.928,809,591,1032,710,4
94,3.76,252,160,19.5,deep,0.660,1028,332,1280,492,4
95,3.80,305,153,19.1,deep,0.810,0,387,305,540,4
95,3.80,230,164,21.0,very_deep,0.607,1050,332,1280,496,5
96,3.84,306,161,18.5,deep,0.765,0,391,306,552,4
96,3.84,226,166,19.7,deep,0.560,1054,334,1280,500,4
97,3.88,301,164,19.3,deep,0.757,0,397,301,561,4
97,3.88,84,42,18.2,deep,0.756,758,321,842,363,4
97,3.88,215,165,21.7,very_deep,0.516,1065,341,1280,506,5
98,3.92,286,180,18.3,deep,0.830,0,402,286,582,4
98,3.92,201,145,20.8,very_deep,0.581,1078,356,1279,501,5
99,3.96,281,194,18.0,deep,0.821,0,405,281,599,4
99,3.96,198,147,19.7,deep,0.647,1081,358,1279,505,4
100,4.00,280,198,18.1,deep,0.816,0,411,280,609,4
100,4.00,88,44,21.5,very_deep,0.744,769,335,857,379,5
100,4.00,195,153,19.1,deep,0.698,1084,360,1279,513,4
101,4.04,276,193,18.6,deep,0.812,0,422,276,615,4
101,4.04,182,155,21.2,very_deep,0.683,1097,362,1279,517,5
